Name_x,Price_x,UnitPrice_x,UnitPriceString,Unit_x,Best_Match,Match_Score,Name_y,Price_y,Amount,Quantity,is_match,Amount_Value,Unit_y,UnitPrice_y,Unit_Difference,Price_Difference
"SOUR PATCH KIDS Soft & Chewy Candy, 5 oz bag",2.12,0.424,42.4 ¢/oz,OZ,SOUR PATCH KIDS LEMONADE FEST,73.91304347826086,SOUR PATCH KIDS LEMONADE FEST,2.25,3.61 OZ,1.0,,3.61,OZ,0.6232686980609419,0.19926869806094188,0.1299999999999999
"GOYA, OLIVE STFD MANZNLA, 6.75 OZ",2.47,0.366,36.6 ¢/oz,OZ,GOYA BROCOLI,76.19047619047619,GOYA BROCOLI,2.99,16 OZ,1.0,,16.0,OZ,0.186875,0.17912499999999998,0.52
ROYAL BORINQUEN CRCKERS,6.77,0.282,28.2 ¢/oz,OZ,ROYAL BORINQUEN FRESH PK,88.37209302325581,ROYAL BORINQUEN FRESH PK,5.25,14 OZ,1.0,,14.0,OZ,0.375,0.09300000000000003,1.5199999999999996
RB FLORECITAS,8.17,0.409,40.9 ¢/oz,OZ,ROYAL BORINQUEN FLORESITAS,83.33333333333334,ROYAL BORINQUEN FLORESITAS,9.59,20 OZ,1.0,,20.0,OZ,0.4795,0.07050000000000001,1.42
DORITOS FLAMIN HOT NACHO 9.25OZ,3.97,0.429,42.9 ¢/oz,OZ,CHEETOS FLAMIN HOT CRUNCHY,73.46938775510203,CHEETOS FLAMIN HOT CRUNCHY,4.49,9.1 OZ,1.0,,9.1,OZ,0.49340659340659343,0.06440659340659344,0.52
"SOUR PATCH KIDS Soft & Chewy Candy, 5 oz bag",2.12,0.424,42.4 ¢/oz,OZ,SOUR PATCH KIDS LEMONADE FEST,73.91304347826086,SOUR PATCH KIDS LEMONADE FEST,2.99,8.02 OZ,1.0,,8.02,OZ,0.3728179551122195,0.0511820448877805,0.8700000000000001
"HOSTESS TWINKIES, Creamy Golden Sponge Cake, Individually Wrapped - 13.58 oz, 10 Count",4.98,0.367,36.7 ¢/oz,OZ,HOSTESS TWINKIES CAKES 10CT,78.26086956521739,HOSTESS TWINKIES CAKES 10CT,5.59,13.58 OZ,1.0,,13.58,OZ,0.4116347569955817,0.044634756995581726,0.6099999999999994
CORTES MOLIDO LITE,8.08,0.808,80.8 ¢/oz,OZ,CORTES MOLIDO LITE,100.0,CORTES MOLIDO LITE,7.65,10 OZ,1.0,,10.0,OZ,0.765,0.04300000000000004,0.4299999999999997
PR NCTAR DE MANG,0.5,0.1,10.0 ¢/oz,OZ,GOYA NECTAR DE MANGO,87.5,GOYA NECTAR DE MANGO,1.99,33.8 OZ,1.0,,33.8,OZ,0.05887573964497042,0.041124260355029585,1.49
PEDIGREE DENTASTIX Toy/Small Dental Dry Dog Treats Fresh - 5.26 oz. Pack (21 Treats),3.78,0.719,71.9 ¢/oz,OZ,PEDIGREE DENTASTIX BEEF,90.47619047619048,PEDIGREE DENTASTIX BEEF,4.35,5.78 OZ,1.0,,5.78,OZ,0.7525951557093424,0.03359515570934246,0.5699999999999998
